tzid,windowsName,windowsId
GMT-0,Coordinated Universal Time,UTC
Greenwich,Coordinated Universal Time,UTC
Hongkong,"Beijing, Chongqing, Hong Kong, Urumqi",China Standard Time
Iceland,"Monrovia, Reykjavik",Greenwich Standard Time
Iran,Tehran,Iran Standard Time
Israel,Jerusalem,Israel Standard Time
Jamaica,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
Japan,"Osaka, Sapporo, Tokyo",Tokyo Standard Time
Libya,Tripoli,Libya Standard Time
Mexico/BajaNorte,Baja California,Pacific Standard Time (Mexico)
Mexico/General,"Guadalajara, Mexico City, Monterrey",Central Standard Time (Mexico)
Navajo,Mountain Time (US & Canada),Mountain Standard Time
NZ-CHAT,Chatham Islands,Chatham Islands Standard Time
Pacific/Samoa,Coordinated Universal Time-11,UTC-11
Poland,"Sarajevo, Skopje, Warsaw, Zagreb",Central European Standard Time
PRC,"Beijing, Chongqing, Hong Kong, Urumqi",China Standard Time
ROC,Taipei,Taipei Standard Time
ROK,Seoul,Korea Standard Time
Singapore,"Kuala Lumpur, Singapore",Singapore Standard Time
Turkey,Istanbul,Turkey Standard Time
US/Alaska,Alaska,Alaskan Standard Time
US/Aleutian,Aleutian Islands,Aleutian Standard Time
US/Arizona,Arizona,US Mountain Standard Time
US/Central,Central Time (US & Canada),Central Standard Time
US/Eastern,Eastern Time (US & Canada),Eastern Standard Time
US/Hawaii,Hawaii,Hawaiian Standard Time
US/Mountain,Mountain Time (US & Canada),Mountain Standard Time
US/Pacific,Pacific Time (US & Canada),Pacific Standard Time
US/Pacific-New,Pacific Time (US & Canada),Pacific Standard Time
US/Samoa,Coordinated Universal Time-11,UTC-11
W-SU,"Moscow, St. Petersburg, Volgograd",Russian Standard Time
Etc/UTC,Coordinated Universal Time,UTC
UCT,Coordinated Universal Time,UTC
Europe/Lisbon,"Dublin, Edinburgh, Lisbon, London",GMT Standard Time
Etc/Universal,Coordinated Universal Time,UTC
Etc/Zulu,Coordinated Universal Time,UTC
Portugal,"Dublin, Edinburgh, Lisbon, London",GMT Standard Time
Universal,Coordinated Universal Time,UTC
UTC,Coordinated Universal Time,UTC
Zulu,Coordinated Universal Time,UTC
America/Argentina/Buenos_Aires,City of Buenos Aires,Argentina Standard Time
America/Argentina/Catamarca,City of Buenos Aires,Argentina Standard Time
America/Argentina/Cordoba,City of Buenos Aires,Argentina Standard Time
America/Argentina/Jujuy,City of Buenos Aires,Argentina Standard Time
America/Argentina/La_Rioja,City of Buenos Aires,Argentina Standard Time
America/Argentina/Mendoza,City of Buenos Aires,Argentina Standard Time
America/Argentina/Rio_Gallegos,City of Buenos Aires,Argentina Standard Time
America/Argentina/Salta,City of Buenos Aires,Argentina Standard Time
America/Argentina/San_Juan,City of Buenos Aires,Argentina Standard Time
